strategy_name,total_patients_processed,mean_wait_time_minutes,max_wait_time_minutes,nurse_utilization_percent,machine_utilization_percent,avg_session_time_minutes,sessions_truncated_count,failed_patients_count
FIFO,16,6.8125,17.0,0.2962962962962963,0.5922222222222222,239.6875,1,0
FIXED,16,54.125,129.0,0.2962962962962963,0.6436111111111111,224.625,9,0
FIFO,16,0.875,6.0,0.2222222222222222,0.610233918128655,240.0,0,0
FIXED,16,38.4,92.0,0.20833333333333334,0.6004385964912281,230.06666666666666,7,1
FIFO,18,26.6875,61.0,0.4444444444444444,0.6140277777777777,229.875,6,2
FIXED,18,56.1,141.0,0.2777777777777778,0.4027777777777778,221.4,6,8
FIFO,16,8.8125,23.0,0.2962962962962963,0.5875,238.9375,2,0
FIXED,16,56.46666666666667,109.0,0.2777777777777778,0.5777777777777777,221.0,9,1
FIFO,18,5.055555555555555,16.0,0.25,0.6590277777777778,240.0,0,0
FIXED,18,57.333333333333336,130.0,0.25,0.7229166666666667,228.38888888888889,9,0
FIFO,18,18.166666666666668,37.0,0.3333333333333333,0.6845833333333333,236.27777777777777,4,0
FIXED,18,51.9375,103.0,0.2962962962962963,0.6393055555555556,222.9375,9,2
FIFO,17,3.0588235294117645,15.0,0.2361111111111111,0.650438596491228,238.88235294117646,2,0
FIXED,17,54.0,138.0,0.2222222222222222,0.6497076023391812,222.5,10,1
FIFO,18,42.0,77.0,0.4444444444444444,0.6194444444444445,230.0625,6,2
FIXED,18,64.375,136.0,0.2222222222222222,0.3244444444444444,222.0,6,10
FIFO,17,37.0625,70.0,0.4444444444444444,0.656578947368421,229.5,6,1
FIXED,17,62.54545454545455,130.0,0.3055555555555556,0.4652046783625731,222.8181818181818,6,6
FIFO,17,4.764705882352941,15.0,0.2361111111111111,0.6219444444444444,239.8235294117647,2,0
FIXED,17,59.9375,137.0,0.2222222222222222,0.6295833333333334,218.0625,12,1
FIFO,17,26.9375,54.0,0.4444444444444444,0.6131944444444445,230.25,6,1
FIXED,17,59.9,112.0,0.2777777777777778,0.3947222222222222,221.7,6,7
FIFO,18,5.111111111111111,20.0,0.25,0.6627777777777778,240.0,0,0
FIXED,18,28.22222222222222,78.0,0.25,0.6990277777777778,235.33333333333334,5,0
FIFO,17,29.0,61.0,0.4722222222222222,0.6529166666666667,227.8235294117647,6,0
FIXED,17,68.11111111111111,110.0,0.25,0.3705555555555556,214.33333333333334,6,8
FIFO,18,15.222222222222221,36.0,0.3333333333333333,0.7092105263157895,236.22222222222223,5,0
FIXED,18,46.625,130.0,0.2962962962962963,0.645906432748538,222.0,9,2
FIFO,18,30.533333333333335,68.0,0.4166666666666667,0.5790277777777778,227.4,6,3
FIXED,18,45.7,90.0,0.2777777777777778,0.3859722222222222,221.4,6,8
FIFO,17,1.7647058823529411,13.0,0.2361111111111111,0.6168055555555556,239.47058823529412,1,0
FIXED,17,54.294117647058826,126.0,0.2361111111111111,0.6745833333333333,219.58823529411765,11,0
FIFO,18,36.0,66.0,0.4444444444444444,0.6697368421052632,230.625,6,2
FIXED,18,61.7,110.0,0.2777777777777778,0.41842105263157897,219.9,6,8
FIFO,16,1.0625,10.0,0.2222222222222222,0.5797222222222222,239.8125,1,0
FIXED,16,30.375,75.0,0.2222222222222222,0.6020833333333333,233.5625,6,0
FIFO,17,24.375,62.0,0.4444444444444444,0.6391812865497076,228.9375,6,1
FIXED,17,65.4,135.0,0.2777777777777778,0.42850877192982456,217.8,6,7
FIFO,18,33.166666666666664,52.0,0.3333333333333333,0.6829166666666666,235.11111111111111,5,0
FIXED,18,64.8125,136.0,0.2962962962962963,0.6333333333333333,221.4375,9,2
FIFO,17,2.4705882352941178,10.0,0.2361111111111111,0.6183333333333333,240.0,0,0
FIXED,17,33.94117647058823,77.0,0.2361111111111111,0.655,234.05882352941177,5,0
FIFO,16,29.9375,65.0,0.4444444444444444,0.6209722222222223,229.5,6,0
FIXED,16,55.0,104.0,0.3611111111111111,0.5202777777777777,222.46153846153845,6,3
FIFO,16,3.5,15.0,0.2222222222222222,0.5827777777777777,239.6875,2,0
FIXED,16,38.0625,107.0,0.2222222222222222,0.6222222222222222,231.375,8,0
FIFO,17,12.294117647058824,32.0,0.3148148148148148,0.6373611111111112,239.05882352941177,2,0
FIXED,17,61.8235294117647,124.0,0.3148148148148148,0.6727777777777778,222.0,9,0
FIFO,17,28.0625,50.0,0.4444444444444444,0.6188888888888889,230.4375,6,1
FIXED,17,59.4,127.0,0.2777777777777778,0.385,217.2,6,7
FIFO,16,32.125,53.0,0.4444444444444444,0.6539473684210526,230.0625,6,0
FIXED,16,70.0909090909091,129.0,0.3055555555555556,0.46769005847953216,222.27272727272728,6,5
FIFO,18,12.333333333333334,31.0,0.3333333333333333,0.6716666666666666,236.33333333333334,5,0
FIXED,18,57.06666666666667,130.0,0.2777777777777778,0.6093055555555555,219.4,9,3
FIFO,16,22.75,56.0,0.4444444444444444,0.6093055555555555,231.5625,6,0
FIXED,16,61.0,130.0,0.2777777777777778,0.3923611111111111,221.1,6,6
FIFO,16,20.5625,42.0,0.2962962962962963,0.5980555555555556,239.6875,2,0
FIXED,16,62.875,133.0,0.2962962962962963,0.6383333333333333,228.5625,7,0
FIFO,18,9.555555555555555,29.0,0.3333333333333333,0.6680555555555555,237.66666666666666,3,0
FIXED,18,52.5,135.0,0.2962962962962963,0.6416666666666667,221.25,9,2
FIFO,17,29.3125,55.0,0.4444444444444444,0.6147222222222222,231.1875,6,1
FIXED,17,58.36363636363637,145.0,0.3055555555555556,0.43319444444444444,225.54545454545453,6,6
FIFO,18,12.222222222222221,23.0,0.3333333333333333,0.6705555555555556,238.27777777777777,3,0
FIXED,18,55.25,136.0,0.2962962962962963,0.6398611111111111,223.125,9,2
FIFO,16,3.0625,17.0,0.2222222222222222,0.5845833333333333,240.0,0,0
FIXED,16,44.8125,100.0,0.2222222222222222,0.6286111111111111,226.0,9,0
FIFO,16,2.8125,10.0,0.2222222222222222,0.5840277777777778,240.0,0,0
FIXED,16,32.875,88.0,0.2222222222222222,0.6231944444444445,235.5,6,0
FIFO,18,5.944444444444445,18.0,0.25,0.6572222222222223,240.0,0,0
FIXED,18,43.72222222222222,127.0,0.25,0.6975,232.16666666666666,7,0
FIFO,17,5.176470588235294,14.0,0.2361111111111111,0.6955246913580246,240.0,0,0
FIXED,17,45.2,112.0,0.20833333333333334,0.6564814814814814,230.6,7,2
FIFO,18,34.0,43.0,0.3333333333333333,0.7286549707602339,232.44444444444446,6,0
